place_num,age_10,age_20,age_30,age_40,age_50,age_60,gender_male,gender_female,mbti_is,mbti_in,mbti_es,mbti_en,restaurant_korea,restaurant_west,restaurant_china,restaurant_japan,restaurant_fast,restaurant_bunsik,cafe_cafe,cafe_dessert,cafe_bakery,leisure_gallery,leisure_craft,leisure_popup,leisure_theater,leisure_book,leisure_department,walking_park,walking_market,walking_street
1526062253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.0,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159061896,0.25,0.9756999999999999,0.8806,0.6843,0.4863,0.25,0.47,0.53,0.1,0.7,0.15,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21728613,0.25,0.932,0.8859,0.727,0.4939,0.25,0.49,0.51,0.10526315789473684,0.631578947368421,0.15789473684210525,0.10526315789473684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718943550,0.25,0.8204,0.8787,0.8568000000000001,0.6208,0.25,0.51,0.49,0.1,0.55,0.15,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38779891,0.45630000000000004,0.5017,0.33770000000000006,0.2944,0.2482,0.23260000000000003,0.47,0.53,0.1,0.6,0.15,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510629096,0.2786,0.8559,0.8908,0.907,0.8218000000000001,0.7733,0.54,0.46,0.1,0.65,0.1,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20672072,0.1787,0.4826,0.41359999999999997,0.29760000000000003,0.1888,0.1176,0.52,0.48,0.10526315789473684,0.6842105263157895,0.10526315789473684,0.10526315789473684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37556305,0.25,0.9968,0.8186,0.623,0.6254,0.25,0.52,0.48,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.3157894736842105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118558810,0.7963,0.9851000000000001,0.782,0.6347,0.48100000000000004,0.25,0.47,0.53,0.2,0.5,0.15,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18363587,0.6365999999999999,0.8631,0.8511,0.8775,0.7020000000000001,0.25,0.6,0.4,0.1,0.45,0.35,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552708337,0.25,0.9408,0.8568000000000001,0.7501000000000001,0.4818,0.25,0.5,0.5,0.0,0.75,0.05,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000372323,0.9085,0.9207,0.7683,0.7575,0.5478999999999999,0.25,0.42,0.58,0.15,0.4,0.05,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956508264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.7,0.25,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230111450,0.8748,0.9734999999999999,0.8005,0.7319,0.4496,0.25,0.43,0.57,0.05,0.45,0.2,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36960472,0.4646,0.4807,0.38299999999999995,0.3408,0.2377,0.20579999999999998,0.45,0.55,0.15,0.6,0.1,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37414199,0.25,0.9667,0.889,0.6688,0.4742,0.25,0.52,0.48,0.1,0.5,0.15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38591428,0.5931000000000001,0.8759,0.7977,0.8116,0.7525,0.25,0.55,0.45,0.3684210526315789,0.3684210526315789,0.15789473684210525,0.10526315789473684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371023207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.7,0.0,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094057772,0.9706,0.9898,0.7121999999999999,0.6475,0.41,0.25,0.44,0.56,0.15,0.45,0.15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712446689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.6,0.05,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
